SERIES,CNTRY,TRN,AGG,UNIT,REF,CODE,COUNTRY,SUB-CHAPTER,TITLE,UNIT,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,,,,,,,
CYP.1.0.0.0.NET1,CYP,1,0,0,0,NET1,Cyprus,"01 Employment, persons","Employment, persons: agriculture, forestry and fishery products (National accounts) ",1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.1,21.15,19.31,19.11,18.81,18.86,18.27,20.12,18.78,19.44,18.25,15.87,17.3,17.05,17.53,17.24,17.19,16.06,15.41,14.52,14.85,15.37,15.16,14.88,15.4,15.7,15.8,15.99,16.07,NA,NA,NA,,,,,,,
LVA.1.0.0.0.NET1,LVA,1,0,0,0,NET1,Latvia,"01 Employment, persons","Employment, persons: agriculture, forestry and fishery products (National accounts) ",1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,193.268,195.635,204.233,185.301,164.949,135.84,136.59,142.67,142.15,139.6,134.98,141.5,141.15,124.87,103.44,92.39,105.74,86.6,79.72,76.33,66.17,68.57,67.97,67.77,65.17,69.84,67.44,65.15,65.12,63.57,70.21,71.3,70,71.3,NA,NA,NA,,,,,,,
LTU.1.0.0.0.NET1,LTU,1,0,0,0,NET1,Lithuania,"01 Employment, persons","Employment, persons: agriculture, forestry and fishery products (National accounts) ",1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,246.633,237.689,256.211,282.268,275.719,275.93,308.45,310.33,278.77,271.9,260.31,231.35,246.51,251.84,220.39,199.71,195.24,146.52,114.6,118.05,110.01,106.23,112.04,108.67,120.65,120.91,108.42,105.18,98.58,88.89,78.49,74.37,78.22,73.3,NA,NA,NA,,,,,,,
LUX.1.0.0.0.NET1,LUX,1,0,0,0,NET1,Luxembourg,"01 Employment, persons","Employment, persons: agriculture, forestry and fishery products (National accounts) ",1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.734,16.488,15.75,15.135,14.274,13.412,13.166,12.551,12.182,11.443,10.705,9.967,9.598,9.229,9.229,8.613,8.36,7.98,7.853,7.6,7.473,7.093,6.967,6.46,6.207,5.7,5.44,5.39,5.22,5.14,4.89,4.64,4.51,4.43,4.1,4.05,4.07,4.04,4.01,3.93,3.93,3.91,3.9,3.76,3.73,3.72,3.73,3.7,3.68,3.65,3.65,3.67,3.72,3.69,NA,NA,NA,,,,,,,
HUN.1.0.0.0.NET1,HUN,1,0,0,0,NET1,Hungary,"01 Employment, persons","Employment, persons: agriculture, forestry and fishery products (National accounts) ",1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330.94,341.38,328.18,311.76,308.3,287.26,272.85,264.03,235.11,218.76,209.72,204.64,194.22,180.28,163.6,163.13,170.03,191.23,171.37,173.31,174.64,187.99,193.42,189.66,185.09,188.65,178.09,163.76,164.11,NA,NA,NA,,,,,,,
MLT.1.0.0.0.NET1,MLT,1,0,0,0,NET1,Malta,"01 Employment, persons","Employment, persons: agriculture, forestry and fishery products (National accounts) ",1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.12,3.2,3.06,3.05,3.01,3.02,3.07,3.04,3.18,3.18,3.18,3.21,3.28,3.35,3.44,3.45,3.38,3.39,3.35,3.39,3.17,3.21,3.23,3.32,3.43,3.55,3.69,3.81,3.94,NA,NA,NA,,,,,,,
NLD.1.0.0.0.NET1,NLD,1,0,0,0,NET1,Netherlands,"01 Employment, persons","Employment, persons: agriculture, forestry and fishery products (National accounts) ",1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,280.8,274.619,269.321,266.672,262.257,259.608,256.958,254.309,250.777,248.128,244.596,244.596,241.947,241.947,243.713,245.479,245.479,245.479,244.596,245.479,245.479,241.947,242.83,248.128,245.479,238.415,234,237,241,232,234,233,237,236,230,224,218,215,213,209,204,202,200,198,195,194,193,195,197,199,199,200,201,201,197,NA,NA,NA,,,,,,,
AUT.1.0.0.0.NET1,AUT,1,0,0,0,NET1,Austria,"01 Employment, persons","Employment, persons: agriculture, forestry and fishery products (National accounts) ",1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,365.931,360.693,358.283,355.921,354.351,347.061,340.33,334.741,331.687,327.012,321.286,313.817,313.325,305.264,304.532,299.576,296.955,291.485,283.938,271.94,259.88,253.48,243.9,239.32,230.75,229.6,225.54,224.92,217.97,215.01,208.44,206.04,203.04,200.34,198.01,194.97,184.14,181.86,188.03,175.99,171.29,166.99,156.28,148.66,151.49,155.35,149.94,138.43,NA,NA,NA,,,,,,,
POL.1.0.0.0.NET1,POL,1,0,0,0,NET1,Poland,"01 Employment, persons","Employment, persons: agriculture, forestry and fishery products (National accounts) ",1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2803.947,2911.606,2969.644,2964.281,2949.416,2935.5,2717.6,2661.1,2505.6,2469.3,2426.6,2276.3,2218.6,2196.4,2095.4,2003.9,1994.7,1945.9,1852.7,1804.3,1841.9,1701,1659.9,1567.2,1427,1494.3,1505.6,1486.1,1424.4,NA,NA,NA,,,,,,,
PRT.1.0.0.0.NET1,PRT,1,0,0,0,NET1,Portugal,"01 Employment, persons","Employment, persons: agriculture, forestry and fishery products (National accounts) ",1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1259.693,1175.577,1171.473,1077.099,1064.789,984.776,933.486,939.641,971.441,897.788,928.094,925.085,910.969,833.438,804.688,725.288,663.948,673.606,655.32,665.03,669.61,643.78,620.36,634.64,651.8,634.03,637.56,610.49,598.19,596.79,586.12,580.38,571.29,543.18,530.21,541.58,508.88,485.88,458.19,423.73,391.1,363.18,328.66,316.67,311.03,300.69,256.82,NA,NA,NA,,,,,,,
